date,Travnik,Njiva,Voda,Gozd,Pozidano
2018-06-30,0.844604852626435,,,,0.16830068036210663
2018-06-25,0.1422948542570092,,,,
2018-06-20,0.811845403368553,0.6965504505922473,-0.10631535915575159,0.6663495198693025,0.13684749129769305
2018-06-15,0.6194796578810231,,,,
2018-06-10,0.6791100031662534,0.7074736761322378,-0.013620973481954115,0.6539915450475038,0.14368168160290118
2018-05-31,0.4200289176432839,0.6234735100451222,-0.12283426413544289,0.5537893300035858,0.18312828839294298
2018-05-16,0.683156710070995,0.5218638192448243,,0.44244281515307476,
2018-05-06,0.7996498764073268,0.4950245651681227,0.05581093387575265,0.5703494982718851,0.17126837411362092
2018-05-01,0.46916421979329415,,0.18576006219984398,0.35031636469709665,
2018-04-21,0.8427369383041236,0.2383094750426252,-0.29617545817846713,0.5528209444657398,0.1259783871504707
2018-04-11,0.6233060634134188,0.16223130610124423,0.046968890330822265,0.2663366549589357,0.12003842170207069
2018-04-06,0.751415215870618,0.13324912685948712,-0.3718907384056663,0.507063055141416,0.09918072139690746
2018-03-27,0.2834339988403334,0.14542531812054166,0.0928435307864468,0.23988383629872354,0.11005989433397599
2018-03-22,0.5380522814015057,0.18544620879311396,-0.23456224577649593,0.39438217602913267,0.08426547936435956
2018-01-21,0.6704711723010389,0.18016585283248063,-0.30539054584930725,0.4294402596231502,0.06640143290804562
2018-01-06,0.41926379785185125,,,,
2017-12-17,0.09596899214298088,,,0.04697984106751111,0.017431669693404258
2017-11-27,0.2002819109283274,,-0.5001690682467251,0.38731440220764635,0.04472998557464875
2017-10-28,0.40683703226173334,0.1525108613966286,0.08209625414344103,0.20272884715970546,0.09167854741246856
2017-10-18,0.6885437412215382,0.3677109349401795,-0.1890554697103003,0.5057408547754647,0.10845754737563874
2017-10-13,0.585860313109442,0.3013825836397358,-0.04729019744058324,0.32474624130324303,0.1377243158095674
2017-10-08,0.7395010884711289,0.4530945436178552,-0.0283232854902972,0.46841276441763324,0.1240707067585555
2017-09-28,0.7528106003512796,,-0.20436702004900462,,0.12727464504302927
2017-09-23,0.6963419140298819,0.5704462496981595,0.008427763867535297,0.5561049301255914,0.13734348085788994
2017-08-29,0.5242759603602289,,0.11269170577948238,,
2017-08-24,0.8194045051292311,0.7074427672755804,0.0057689672963948235,0.6312038818184792,0.14204481079223633
2017-08-04,0.8026327680252368,0.6829288232012587,0.040909376531368204,0.6132993068867816,0.14070433606714067
2017-07-25,0.8276204792401474,0.7828231168099138,-0.16947691929139336,0.7049953025499364,0.13705467399657933
2017-07-20,0.713339911439673,0.6899807033661177,0.09983940225119761,0.6072804766229839,0.15016687277432575
2017-07-10,0.4763782316985428,0.6786605137188163,0.02843742445478322,0.6406677280200533,0.14887884161067033
2017-07-05,0.8133581517239462,0.6428124787669016,-0.11783412066072177,0.6507875745704904,0.13755191776335454
2017-06-30,0.7979505193219436,0.5685442372096062,-0.33260361480731027,0.6356563772412729,0.1584691529195846
2017-06-20,0.826131967777794,0.42848066252844286,-0.010336807724483418,0.6441676018219769,0.15141075691647757
2017-06-10,0.8168602927939466,0.4471278636492566,,0.4917470938256169,0.16969031404085688
2017-05-31,0.6491132036531655,0.3468528861165605,,0.5598197863406846,0.16136708175970377
2017-05-21,0.4797437769787989,0.2236703956441087,-0.13183903621621332,0.6370860826788962,0.14354133144027573
2017-05-01,0.706916278633823,0.4223850416754807,,0.4811055786392852,0.14049207813764641
2017-04-21,0.817752603250098,0.41099143692724277,-0.1016643404787415,0.5755069972872159,0.14657935263884053
2017-04-01,0.6972254907038753,0.27546016547262925,-0.12027129898841186,0.45545316290918353,0.10330978938086838
2017-03-12,0.5386922423920286,0.20937067356164343,-0.24697605306080908,0.4302847378199021,0.08587234401709926
2017-03-02,0.23497999068340195,0.1306937153735005,,0.1354663939420812,
2017-02-20,0.10706942707691733,0.12131820488205478,0.07913086296682022,0.45733747415802295,-0.015357740358549784
2017-01-11,0.37897254887786963,0.21949520894275334,,0.3045170457500985,0.057299349608461274
2017-01-01,0.49874578292108424,0.28430619778019767,-0.249713041854203,0.37569709065765333,0.059813313929506236
2016-12-12,0.6105961081394145,0.3559305269769681,-0.250800646818255,0.36136922945845856,0.052685713544722394
2016-12-02,0.43365103785931824,0.30709315846289964,0.03514215504079585,0.2571428466974373,0.10540361880291452
2016-11-22,0.3729086281706311,0.3240122594111358,,,
2016-11-12,0.5931142847636783,,,0.26693198558751075,
2016-10-23,0.051381867848925254,,,,0.04125299945454059
2016-09-23,0.8146902898134197,0.6631309068903262,-0.05190794708540659,0.6244457789837965,0.13071072831762226
2016-09-13,0.7586637702738371,0.646646817516105,-0.03239411066567023,0.5888392010599999,0.13665700597167058
2016-08-24,0.8211267176693652,0.4665320738991071,-0.3174552901278823,0.6745963695110487,0.1396593495434084
2016-08-14,0.8278132567346267,0.1649086812056052,-0.3630765410747224,0.6978535542561319,0.13045496840270163
2016-08-04,0.7628460845321601,0.1577891744994215,0.06706901631003165,0.6430468442772956,0.15327188983526155
2016-07-25,0.6773701681820897,0.250057974586931,,0.6411976656906891,0.1478614880669674
2016-06-25,0.7850778053580698,,-0.0058499969637305915,0.580407961048972,0.1562677011915376
2016-06-05,0.6873867221205489,0.7388953447921459,-0.08363105796678194,0.6595806008322795,0.1408893625797737
2016-05-26,0.4194082398697325,0.7690332428914806,-0.0986912761167035,0.6668562812383881,0.141061715115703
2016-05-16,0.786618959668792,0.6867785987638277,-0.05483527105837519,0.42577680602040474,0.1634039185551168
2016-05-06,0.8290933201424254,0.7062378257356083,-0.16700881593620368,0.5772152993005779,0.1449323015604088
2016-03-17,0.5227568307237351,0.0787137336487669,,0.1783319216060691,0.0766440111844633
2016-03-07,0.006886641374230026,,,,
2016-02-06,0.5082909777115469,0.1697368276861774,-0.2501862303959897,0.4021938282331442,0.07110721035226983
2016-01-17,0.29288543009569257,0.07042206348884025,,0.211562557670783,0.029736929925638707
2015-12-28,0.6344051297885194,0.14108228178462162,-0.23521244437211297,0.3728456018424652,0.051691127122197256
2015-12-18,0.07009037457693904,0.020266656835316976,,0.05521575073638284,
2015-12-08,0.640141711791035,0.0613911239019672,,0.19107098789660412,0.026436051287186617
2015-09-29,0.8298102345493923,0.22370126451554928,-0.3963404506646612,0.6050160243535226,0.1235921972961796
2015-08-30,0.49516249748117225,0.24934059512969356,-0.054209660910032646,0.6293832058483829,0.13468634579210043
2015-07-31,0.6850545510551797,0.6526255652213894,0.1537042415700579,0.6842641165898311,0.1333181287181734
2015-07-11,0.8203230111490943,0.7653055206414096,-0.1024309585711021,0.6912299411839684,0.13168478425714555
